Check,Status,Observed,Expected,Details,DataScope,TestStatus
Validation Day-4 probabilities match the locked reliability table,PASS,0.0,<= 1e-15,,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
No out-of-allowlist EyeExamID (including any test EyeExamID) enters analysis,PASS,0,0,Operationalized against exact hash-pinned train/validation ID sets so no test-ID file is loaded.,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
All normalized pooled embeddings are finite,PASS,True,True,,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Abnormal frozen reference count,PASS,194,194,,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Abnormal frozen reference IDs reproduce the Day-5 rule,PASS,0,0,Correct training eyes only; confidence descending; EyeExamID tie-break; ceil(top 50%).,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Normal frozen reference count,PASS,61,61,,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Normal frozen reference IDs reproduce the Day-5 rule,PASS,0,0,Correct training eyes only; confidence descending; EyeExamID tie-break; ceil(top 50%).,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
No validation eye enters the reference database,PASS,0,0,,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Recomputed class centroids match frozen Day-5 centroids,PASS,5.551115123125783e-17,<= 1e-12,,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Recomputed reference-eye centroid distances match Day 5,PASS,2.55351295663786e-15,<= 1e-12,,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Centroid cosine typicality reproduces Day 5,PASS,2.3314683517128287e-15,<= 1e-12,,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Centroid empirical percentiles reproduce Day 5,PASS,0.0,<= 1e-12,,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
All feature-distribution comparison values are finite,PASS,True,True,,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
"All reference percentiles are within [0,100]",PASS,True,True,,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
C + KNN envelope includes a nonbinding-KNN reproduction of its base,PASS,True,True,,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
C + Agreement + KNN envelope includes a nonbinding-KNN reproduction of its base,PASS,True,True,,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
C + ViewSD + KNN envelope includes a nonbinding-KNN reproduction of its base,PASS,True,True,,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
C + Agreement + ViewSD + KNN envelope includes a nonbinding-KNN reproduction of its base,PASS,True,True,,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
All requested routing coverage targets are exactly attainable,PASS,True,True,,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
All candidate routing thresholds replay their saved validation metrics,PASS,True,True,,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Locked input artifacts were unchanged during analysis,PASS,True,True,,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Loaded input registry contains only the six fixed train/validation artifacts,PASS,6,6,,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
No test artifact path was loaded,PASS,True,True,,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Test set was not loaded or evaluated,PASS,True,True,The script has no test input path and uses a fixed allowlist of hash-pinned train/validation artifacts.,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
